season,date,name,level,surface,indoor,drawType,drawSize,playerCount,participation,strength,averageEloRating,winner_name,winner_seed,winner_country_name,winner_country_id,runnerUp_name,runnerUp_seed,runnerUp_country_name,runnerUp_country_id,score,titleDifficulty,titleAvgRank,titleAvgEloRating,speed
1998,1998-05-25,Roland Garros,G,C,false,KO,128,128,0.9759248385202584,2964,2057,Carlos Moya,12,Spain,ESP,Alex Corretja,14,Spain,ESP,6-3 7-5 6-3,0.9373900483733977,39.51435856921195,1972,31
1997,1997-05-26,Roland Garros,G,C,false,KO,128,128,0.8661186142102173,2875,2040,Gustavo Kuerten,,Brazil,BRA,Sergi Bruguera,16,Spain,ESP,6-3 6-4 6-2,1.0011774163663987,19.739060729967882,2065,28
1996,1996-05-27,Roland Garros,G,C,false,KO,128,128,0.9477392836171462,2999,2064,Yevgeny Kafelnikov,6,Russian Federation,RUS,Michael Stich,15,Germany,GER,7-6(4) 7-5 7-6(4),1.0260814765463824,24.970789389134065,2007,32
1995,1995-05-29,Roland Garros,G,C,false,KO,128,128,0.9700528479154433,3031,2070,Thomas Muster,5,Austria,AUT,Michael Chang,6,United States,USA,7-5 6-2 6-4,0.9839619935824232,30.875309287318,2013,24
1994,1994-05-23,Roland Garros,G,C,false,KO,128,128,0.9547856723429242,2992,2062,Sergi Bruguera,6,Spain,ESP,Alberto Berasategui,,Spain,ESP,6-3 7-5 2-6 6-1,0.9465932671341493,24.131288558364595,2001,21
1993,1993-05-24,Roland Garros,G,C,false,KO,128,128,0.9195537287140341,2969,2058,Sergi Bruguera,10,Spain,ESP,Jim Courier,2,United States,USA,6-4 2-6 6-2 3-6 6-3,1.0821267887769748,22.1835806477219,2045,30
1992,1992-05-25,Roland Garros,G,C,false,KO,128,128,0.9436288901937757,2951,2055,Jim Courier,1,United States,USA,Petr Korda,7,Czech Republic,CZE,7-5 6-2 6-1,0.9614057907337021,27.83099129403321,2026,23
1991,1991-05-27,Roland Garros,G,C,false,KO,128,128,0.8925425719318849,2929,2050,Jim Courier,9,United States,USA,Andre Agassi,4,United States,USA,3-6 6-4 2-6 6-1 6-4,1.0375522414639609,19.354308887718663,2036,17
1990,1990-05-28,Roland Garros,G,C,false,KO,128,128,0.7522019964768056,2820,2030,Andres Gomez,4,Ecuador,ECU,Andre Agassi,3,United States,USA,6-3 2-6 6-4 6-4,0.8824798546251091,44.713174069917514,1987,
1989,1989-05-29,Roland Garros,G,C,false,KO,128,128,0.7475044039929536,2921,2049,Michael Chang,15,United States,USA,Stefan Edberg,3,Sweden,SWE,6-1 3-6 4-6 6-4 6-2,1.1279120066768822,26.63036598804938,2045,
